,0,1,2,3,4,5,6,7,8,9,10
0,Bitcoin,BTC,22649.061021914647,2022-08-04T23:08:00.000Z,1,25367328406.668182,-2.2714,-0.95021645,-5.4010788,432878615996.1332,25367328406.668182
1,Ethereum,ETH,1599.3091779023605,2022-08-04T23:08:00.000Z,2,14513012665.114906,-12.9063,-1.01133809,-8.20436674,194846524381.49142,14513012665.114906
2,Tether,USDT,1.000102351666368,2022-08-04T23:08:00.000Z,3,44984494683.34353,-4.7732,-0.01333058,-0.00621488,66433224310.23549,44984494683.34353
3,USD Coin,USDC,1.0000845700979315,2022-08-04T23:08:00.000Z,4,6417588202.031042,-7.6894,0.00944276,0.02324829,54236852890.84383,6417588202.031042
4,BNB,BNB,311.4553360321775,2022-08-04T23:08:00.000Z,5,1982837514.5821452,-7.5174,4.18607287,12.16669612,50249350867.29711,1982837514.5821452
5,Binance USD,BUSD,1.000139282220485,2022-08-04T23:08:00.000Z,6,5869715104.314082,9.0766,0.03569514,-0.03147545,17922636026.599567,5869715104.314082
6,XRP,XRP,0.3704993527729809,2022-08-04T23:08:00.000Z,7,930136264.1917478,-15.2191,0.34141523,-0.84222934,17911087704.527218,930136264.1917478
7,Cardano,ADA,0.49860189459026955,2022-08-04T23:08:00.000Z,8,505003252.32659286,-8.3515,-0.51090662,-3.35585269,16829092891.825552,505003252.32659286
8,Solana,SOL,38.62874406958493,2022-08-04T23:08:00.000Z,9,1252900343.5989397,-46.1877,0.01988477,-10.67567617,13378648817.226425,1252900343.5989397
9,Polkadot,DOT,8.070808152513385,2022-08-04T23:08:00.000Z,10,411181178.14051807,-18.1266,0.06258633,2.23018446,8904598242.043283,411181178.14051807
10,Dogecoin,DOGE,0.06708241027844608,2022-08-04T23:08:00.000Z,11,250848470.46777314,-11.155,1.2110353,-3.34046602,8899874642.720512,250848470.46777314
11,Dai,DAI,0.9999161178958319,2022-08-04T23:08:00.000Z,12,671484919.4248767,58.2234,0.05722528,0.07229625,7463669527.189043,671484919.4248767
12,Polygon,MATIC,0.8910583141113874,2022-08-04T23:08:00.000Z,13,444544613.8526036,-19.1356,0.67943662,-5.72200548,7159478855.326506,444544613.8526036
13,Avalanche,AVAX,23.3177050291601,2022-08-04T23:08:00.000Z,14,461576594.48694336,-20.265,0.66248445,-3.94069781,6632211684.126039,461576594.48694336
14,Uniswap,UNI,8.772074716561423,2022-08-04T23:08:00.000Z,15,266201830.95304134,-17.9191,-0.88951369,-5.5768255,6538798403.273076,266201830.95304134
15,Shiba Inu,SHIB,1.1794751777645508e-05,2022-08-04T23:08:00.000Z,16,304027518.1229281,-3.5131,-0.01347233,-0.98745197,6476065084.5661335,304027518.1229281
16,TRON,TRX,0.06909867654198297,2022-08-04T23:08:00.000Z,17,390518402.0008549,5.371,1.76569312,-1.26277367,6386052347.758414,390518402.0008549
17,Wrapped Bitcoin,WBTC,22613.72861592662,2022-08-04T23:08:00.000Z,18,136454040.45638517,-13.8559,-1.31884849,-5.51982168,5355158419.460126,136454040.45638517
18,UNUS SED LEO,LEO,4.9981591193551775,2022-08-04T23:08:00.000Z,19,3740699.90655873,-12.9741,0.17127867,-5.94676429,4768014534.306034,3740699.90655873
19,Ethereum Classic,ETC,34.76824425036727,2022-08-04T23:08:00.000Z,20,1047933922.6380407,-32.0856,-2.74995402,-15.20990581,4734353365.228689,1047933922.6380407
20,Litecoin,LTC,59.482790363081534,2022-08-04T23:08:00.000Z,21,438529952.8998896,-6.1931,2.58516569,-6.68724753,4215600004.476311,438529952.8998896
21,FTX Token,FTT,29.147399962786047,2022-08-04T23:08:00.000Z,22,54715310.25077425,-10.5343,-0.10894177,-4.03404353,3926207312.2646747,54715310.25077425
22,Cronos,CRO,0.1414230011037487,2022-08-04T23:08:00.000Z,23,31497050.63324286,-73.9759,-2.24328669,3.83212221,3572771213.2477345,31497050.63324286
23,Chainlink,LINK,7.3168551009877385,2022-08-04T23:08:00.000Z,24,353532708.94889206,-11.1064,-0.2970253,0.82302216,3435994939.2311635,353532708.94889206
24,NEAR Protocol,NEAR,4.411159187047361,2022-08-04T23:08:00.000Z,25,396342780.1839629,7.7919,-1.99517533,0.84027352,3316314862.8475738,396342780.1839629
